"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",1,"NADS_IMPAIR_3_20220526160934.daq",3,"Dark",3,0,0.250376907487412,0.364655541309133,0.384967551203455,0.234171705324554,0.249187058133532,0.0416178062348607
"2",2,"NADS_IMPAIR_2_20220403114032.daq",3,"Dark",3,0,0.148621895175301,0.425162231556086,0.426215873268613,-0.438403926099471,0.277098096578657,0.0446225440017704
"3",3,"NADS_IMPAIR_1_20220427105058.daq",3,"Dark",3,0,0.169905521292601,0.439892233128292,0.390202245579108,0.244164359895172,0.185074579434388,0.0430724950301171
"4",5,"NADS_IMPAIR_1_20220429104213.daq",3,"Dark",3,0,0.16424013894789,0.433355247353754,0.402404613698355,0.255939963011363,0.399967805070463,0.0447012685256745
"5",6,"NADS_IMPAIR_1_20220507155326.daq",3,"Dark",3,0,0.175870495732051,0.427175406886002,0.396954097381947,-0.275402591644391,0.693111066485792,0.0498527149972071
"6",9,"NADS_IMPAIR_2_20220506160030.daq",3,"Dark",3,0,0.115873602905325,0.398981918792141,0.485144478302534,-0.348147820147554,0.318766161862707,0.0475415392144509
"7",10,"NADS_IMPAIR_2_20220330104740.daq",3,"Dark",3,0,0.109247646218524,0.405487811214376,0.4852645425671,-0.701166377065458,0.390985639695284,0.0495640461521829
"8",11,"NADS_IMPAIR_3_20220507102244.daq",3,"Dark",3,0,0.152983450735198,0.433678451455219,0.413338097809583,-0.213484317927606,0.497562949689012,0.0434659133990796
"9",13,"NADS_IMPAIR_2_20220504114130.daq",3,"Dark",3,0,0.298004059412317,0.348793797742399,0.353202142845283,-0.557770295773056,0.614920087165633,0.0400335477875559
"10",14,"NADS_IMPAIR_1_20220410103320.daq",3,"Dark",3,0,0.161242177266565,0.422800960561902,0.415956862171533,-0.0911226179580713,0.493404275439598,0.0416883852194999
"11",15,"NADS_IMPAIR_3_20220527155636.daq",3,"Dark",3,0,0.118034051521469,0.425296292409099,0.456669656069432,0.0566653369748177,0.33332850928762,0.0409302948491974
"12",16,"NADS_IMPAIR_2_20220415112103.daq",3,"Dark",3,0,0.0994647816683278,0.369082925252028,0.531452293079644,-0.43979202235608,0.24403760252129,0.0498261591900832
"13",17,"NADS_IMPAIR_2_20220511102823.daq",3,"Dark",3,0,0.0992451187224681,0.499055793636978,0.401699087640554,-0.70718272124482,0.797914782821191,0.0421961475428793
