"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",1,"NADS_IMPAIR_2_20220526174012.daq",3,"Dark",4,0,0.199370746096295,0.444016937570586,0.356612316333118,-0.282891193099026,0.619008569784288,0.0455341259535018
"2",2,"NADS_IMPAIR_3_20220403131223.daq",3,"Dark",4,0,0.130064288894875,0.475816433668697,0.394119277436428,0.0604511450628782,0.297522817286786,0.0455699249053871
"3",3,"NADS_IMPAIR_2_20220427121324.daq",3,"Dark",4,0,0.174552260649269,0.429863110576144,0.395584628774588,-0.249173562763867,0.159190411009609,0.0429572592073623
"4",5,"NADS_IMPAIR_3_20220429121125.daq",3,"Dark",4,0,0.159458199344362,0.463801186715265,0.376740613940373,0.208970182296737,0.204781474534671,0.0448394443967469
"5",6,"NADS_IMPAIR_2_20220507172308.daq",3,"Dark",4,0,0.207046925495606,0.426078206398146,0.366874868106249,-0.407464943877479,0.346281028117041,0.0503300252926899
"6",9,"NADS_IMPAIR_3_20220506172834.daq",3,"Dark",4,0,0.103768996890317,0.306234287054301,0.589996716055381,0.194924027282293,0.24768005804092,0.0511429056284105
"7",10,"NADS_IMPAIR_1_20220330121622.daq",3,"Dark",4,0,0.129604103954256,0.409620744668896,0.460775151376848,-0.373167324172742,0.344340909558867,0.0475070849054959
"8",11,"NADS_IMPAIR_2_20220507115210.daq",3,"Dark",4,0,0.15536642382292,0.418863037464111,0.425770538712969,-0.515030504823412,0.400984738966658,0.043125222767123
"9",13,"NADS_IMPAIR_1_20220504130820.daq",3,"Dark",4,0,0.263374764919261,0.382806915379968,0.35381831970077,-0.165613124277684,0.491533468555834,0.0416214584015112
"10",14,"NADS_IMPAIR_3_20220410120635.daq",3,"Dark",4,0,0.204922070965956,0.406085311038417,0.388992617995628,-0.0877574296535858,0.519691815697995,0.0417032849833309
"11",15,"NADS_IMPAIR_1_20220527172725.daq",3,"Dark",4,0,0.194483450501909,0.395723760948067,0.409792788550024,0.18989315238362,0.149472358837295,0.0413651133369691
"12",16,"NADS_IMPAIR_3_20220415125000.daq",3,"Dark",4,0,0.0756295822011928,0.461984910969434,0.462385506829373,0.155568153566257,0.468961044395041,0.0495550702158282
"13",17,"NADS_IMPAIR_3_20220511115732.daq",3,"Dark",4,0,0.116153659777609,0.454825425852441,0.42902091436995,-0.309423048050056,0.583657781558943,0.0396200830055797
"14",18,"NADS_IMPAIR_2_20220411120847.daq",3,"Dark",4,0,0.101452685350315,0.481180863256467,0.417366451393218,-0.696637344721286,0.329180128779697,0.0464426892478503
"15",19,"NADS_IMPAIR_3_20220430174102.daq",3,"Dark",4,0,0.167915157703129,0.44604302926863,0.386041813028241,0.0180489888648378,0.390035170335682,0.0417722983838959
"16",21,"NADS_IMPAIR_1_20220502120826.daq",3,"Dark",4,0,0.107005321163975,0.319522681148954,0.573471997687072,-0.239507991801172,0.44997247674723,0.0498509878296438
"17",22,"NADS_IMPAIR_2_20220430115631.daq",3,"Dark",4,0,0.157856858932666,0.411904108805118,0.430239032262216,-0.305378064095454,0.469258497801599,0.0441218609486434
"18",23,"NADS_IMPAIR_1_20220528120617.daq",3,"Dark",4,0,0.120700600922035,0.437756683581024,0.441542715496941,0.189663175311733,0.504958699200831,0.0489711542874385
"19",24,"NADS_IMPAIR_2_20220506120353.daq",3,"Dark",4,0,0.144382693110395,0.466386519957812,0.389230786931793,-0.384269820811766,0.19598289843467,0.0430436677159644
"20",25,"NADS_IMPAIR_3_20220523120350.daq",3,"Dark",4,0,0.172771329292255,0.405173019427683,0.422055651280061,0.180471156823025,0.574082103258539,0.0420577597080801
"21",26,"NADS_IMPAIR_1_20220525121345.daq",3,"Dark",4,0,0.224901476126159,0.381496424660094,0.393602099213747,0.0014777536770529,0.194356892328622,0.0371142553893075
"22",27,"NADS_IMPAIR_1_20220522121743.daq",3,"Dark",4,0,0.0998574907712667,0.322453405951426,0.577689103277307,0.153220409174053,0.10331006236711,0.0532409952300438
"23",1004,"NADS_IMPAIR_1_20220708121035.daq",3,"Dark",4,0,0.13492091964948,0.51465925759802,0.350419822752501,-0.0136529978828102,0.215042933398442,0.0520660061555985
"24",1007,"NADS_IMPAIR_3_20220529124229.daq",3,"Dark",4,0,0.0807401298617839,0.366358160209864,0.552901709928353,0.184040389980495,0.20043030145978,0.0481790154683602
"25",1008,"NADS_IMPAIR_2_20220530165442.daq",3,"Dark",4,0,0.130749370210684,0.488436749249353,0.380813880539963,-0.438063630895625,0.399278803235202,0.0526999182447233
"26",1028,"NADS_IMPAIR_1_20220712174726.daq",3,"Dark",4,0,0.0936723600923935,0.510523220871451,0.395804419036155,-0.284192540642586,0.494970968473467,0.052494895255803
"27",1029,"NADS_IMPAIR_2_20220709172213.daq",3,"Dark",4,0,0.106003379401692,0.442479250838732,0.451517369759577,-0.378895416856497,0.271636001654625,0.0480137266154779
"28",1030,"NADS_IMPAIR_2_20220710173240.daq",3,"Dark",4,0,0.151786137494852,0.476366891827062,0.371846970678086,-0.702316286754683,0.501560582757385,0.041893766856885
"29",2012,"NADS_IMPAIR_3_20220709120859.daq",3,"Dark",4,0,0.145345548906071,0.424448011060373,0.430206440033556,-0.102836709909951,0.558346136823007,0.0424558849974038
"30",2020,"NADS_IMPAIR_1_20220712120721.daq",3,"Dark",4,0,0.103705342910497,0.46923965808715,0.427054999002354,-0.0427436989365558,0.581374016727457,0.0386599698264623
"31",1,"NADS_IMPAIR_2_20220526174012.daq",3,"Gravel",4,0,0.170786694025786,0.68467803314926,0.144535272824954,1.35313800767885,0.429821821566865,0.0335242013209096
"32",2,"NADS_IMPAIR_3_20220403131223.daq",3,"Gravel",4,0,0.559220362885311,0.399585097448609,0.0411945396660799,0.70647759263399,0.53449182776985,0.080821176265262
"33",5,"NADS_IMPAIR_3_20220429121125.daq",3,"Gravel",4,0,1,0,0,-0.285879842810248,-0.0580844576718082,0.0791553200906561
"34",6,"NADS_IMPAIR_2_20220507172308.daq",3,"Gravel",4,0,0.476212408191017,0.420714002601281,0.103073589207703,0.383521119330958,0.257968512633271,0.0722769495161235
"35",9,"NADS_IMPAIR_3_20220506172834.daq",3,"Gravel",4,0,0.211839955197282,0.531277718302142,0.256882326500576,0.977386859675457,0.723204997724505,0.0848232788566256
"36",10,"NADS_IMPAIR_1_20220330121622.daq",3,"Gravel",4,0,0.130698843321367,0.632361582296355,0.236939574382278,0.459402584401936,0.306726078807784,0.0322116316191768
"37",11,"NADS_IMPAIR_2_20220507115210.daq",3,"Gravel",4,0,1,0,0,0.345649103857548,0.196108990241291,0.0977896117981196
"38",13,"NADS_IMPAIR_1_20220504130820.daq",3,"Gravel",4,0,0.232899723159814,0.600339325640222,0.166760951199964,1.05299465911812,0.304643986533547,0.0293671647416247
"39",14,"NADS_IMPAIR_3_20220410120635.daq",3,"Gravel",4,0,0.144895832682322,0.67395761228345,0.181146555034228,0.834304563277649,0.278663360579358,0.0321039500528923
"40",15,"NADS_IMPAIR_1_20220527172725.daq",3,"Gravel",4,0,0.177252069104971,0.568344892342301,0.254403038552728,2.4828826474375,0.518665191908486,0.0389990358359832
"41",16,"NADS_IMPAIR_3_20220415125000.daq",3,"Gravel",4,0,0.149341977627703,0.698058188514676,0.152599833857621,2.09083721309838,0.577124272218533,0.0347535659710191
"42",17,"NADS_IMPAIR_3_20220511115732.daq",3,"Gravel",4,0,0.489070707576247,0.455961389920392,0.0549679025033612,0.673589329702757,0.409297199350182,0.0661297508641324
"43",18,"NADS_IMPAIR_2_20220411120847.daq",3,"Gravel",4,0,0.383569406493757,0.616430593506243,0,0.317177391932917,0.278551675152511,0.0951377938093528
"44",19,"NADS_IMPAIR_3_20220430174102.daq",3,"Gravel",4,0,0.81604026294718,0.0368901884212767,0.147069548631543,0.409887115720679,0.260459683797513,0.0635986042231929
"45",21,"NADS_IMPAIR_1_20220502120826.daq",3,"Gravel",4,0,0.112170638602925,0.586973215324775,0.3008561460723,0.671942031125193,0.216039013537409,0.0436906946260931
"46",22,"NADS_IMPAIR_2_20220430115631.daq",3,"Gravel",4,0,0.0946214754382741,0.708990668789101,0.196387855772625,1.56145721177088,0.512187494501467,0.0352628727482215
"47",23,"NADS_IMPAIR_1_20220528120617.daq",3,"Gravel",4,0,0.141597506620047,0.540636558517087,0.317765934862866,3.76014701814489,0.717061154867805,0.0440459815028875
"48",24,"NADS_IMPAIR_2_20220506120353.daq",3,"Gravel",4,0,0.119127278364569,0.676177168547625,0.204695553087807,-0.461003285370979,-0.126742128654788,0.0324892774169175
"49",25,"NADS_IMPAIR_3_20220523120350.daq",3,"Gravel",4,0,1,0,0,0.251504387624601,0.135673818057404,0.107876666504954
"50",26,"NADS_IMPAIR_1_20220525121345.daq",3,"Gravel",4,0,1,0,0,0.216080263215191,0.130515544513012,0.0838883356912567
"51",27,"NADS_IMPAIR_1_20220522121743.daq",3,"Gravel",4,0,0.207910613926602,0.295417579242916,0.496671806830482,2.10382142649554,0.397158118916044,0.0586650200432624
"52",1004,"NADS_IMPAIR_1_20220708121035.daq",3,"Gravel",4,0,0.10973371803199,0.708553299145928,0.181712982822082,3.16819687881045,1.05039407649741,0.0398622611352492
"53",1007,"NADS_IMPAIR_3_20220529124229.daq",3,"Gravel",4,0,0.104949038948453,0.409598591284744,0.485452369766803,1.03528898664195,0.273421471665438,0.0595598803573999
"54",1008,"NADS_IMPAIR_2_20220530165442.daq",3,"Gravel",4,0,0.13545654656949,0.5395762950068,0.32496715842371,3.09510769959776,0.635561586159682,0.0413458894210463
"55",1028,"NADS_IMPAIR_1_20220712174726.daq",3,"Gravel",4,0,0.119128925582876,0.670500198941159,0.210370875475964,0.166891252207498,0.0413919786109092,0.0380104348747788
"56",1029,"NADS_IMPAIR_2_20220709172213.daq",3,"Gravel",4,0,1,0,0,0.537394956509048,0.191698625390974,0.136406343691686
"57",1030,"NADS_IMPAIR_2_20220710173240.daq",3,"Gravel",4,0,0.545196430198303,0.454803569801697,0,0.630368602720079,0.2778554025496,0.152707473157383
"58",2012,"NADS_IMPAIR_3_20220709120859.daq",3,"Gravel",4,0,0.115585751835947,0.652842752619546,0.231571495544507,2.59163604348928,0.814544841683689,0.0373750193525876
"59",2020,"NADS_IMPAIR_1_20220712120721.daq",3,"Gravel",4,0,0.161268910308269,0.467154294977987,0.371576794713744,2.11468839736388,0.365273757045323,0.0370960031721545
"60",1,"NADS_IMPAIR_2_20220526174012.daq",3,"RuralStr",4,0,0.0173022292601921,0.0271043215708984,0.95559344916891,0.033328000907345,0.0796424465751805,0.00147907101803216
"61",2,"NADS_IMPAIR_3_20220403131223.daq",3,"RuralStr",4,0,0.0120297104731099,0.0314033663044014,0.956566923222489,-0.0580068228308674,0.160232815700744,0.00130558317544413
"62",5,"NADS_IMPAIR_3_20220429121125.daq",3,"RuralStr",4,0,0.0100541461980235,0.0184923848067695,0.971453468995207,0.0595294387241124,0.177672339968909,0.000868135354034976
"63",6,"NADS_IMPAIR_2_20220507172308.daq",3,"RuralStr",4,0,0.0279490448429988,0.0198459517088018,0.952205003448199,0.0154268473895505,0.1225361186752,0.00193955247738018
"64",9,"NADS_IMPAIR_3_20220506172834.daq",3,"RuralStr",4,0,0.0337481796439586,0,0.966251820356041,-0.0249718381407158,0.053336667122852,0.00315403608385342
